anime_id,title,title_japanese,episodes,aired_from,tags,image_url,image_path
82,Mobile Suit Gundam 0080: War in the Pocket,機動戦士ガンダム 0080 ポケットの中の戦争,6,1989-03-25,origin pg-13 - teen 13 or older sunris militari sci-fi space drama mecha,https://myanimelist.cdn-dena.com/images/anime/1/82.jpg,posters/82.jpg
10568,Kamisama no Memochou,神様のメモ帳,12,2011-07-02,light novel r - 17+ (violenc & profanity) j.c.staff mysteri,https://myanimelist.cdn-dena.com/images/anime/13/75202.jpg,posters/10568.jpg
2515,Detective Conan OVA 05: The Target is Kogoro! The Detective Boys&#039; Secret Investigation,名探偵コナン 標的は小五郎!!少年探偵団マル秘調査,1,,manga pg-13 - teen 13 or older tmsentertain adventur mysteri comedi polic shounen,https://myanimelist.cdn-dena.com/images/anime/10/31143.jpg,posters/2515.jpg
2696,Crusher Joe OVA,クラッシャージョウ,2,1989-02-05,light novel r - 17+ (violenc & profanity) sunris action sci-fi adventur,https://myanimelist.cdn-dena.com/images/anime/3/18788.jpg,posters/2696.jpg
2698,Sanctuary,サンクチュアリ,1,1996-05-01,manga r+ - mild nuditi pastel action polic thriller drama seinen,https://myanimelist.cdn-dena.com/images/anime/8/8502.jpg,posters/2698.jpg
33803,Sengoku Choujuu Giga: Kou,戦国鳥獣戯画~甲~,13,2016-10-09,origin pg-13 - teen 13 or older ilca histor demon supernatur samurai,https://myanimelist.cdn-dena.com/images/anime/6/82326.jpg,posters/33803.jpg
34979,Shounen Ashibe: Go! Go! Goma-chan 2,少年アシベ GO！GO！ゴマちゃん,32,2017-04-04,4-koma manga g - all age bridg husiostudio sliceoflif comedi seinen,https://myanimelist.cdn-dena.com/images/anime/6/89580.jpg,posters/34979.jpg
7583,Valkyrie Choukyou Semen Tank no Ikusa Otome 10-nin Shimai,ワルキューレ調教・ザーメンタンクの戦乙女10人姉妹,2,2009-12-21,visual novel rx - hentai poro hentai,https://myanimelist.cdn-dena.com/images/anime/4/18212.jpg,posters/7583.jpg
8546,"Dr. Slump Movie 02: ""Hoyoyo!"" Uchuu Daibouken",Dr.SLUMP “ほよよ!”宇宙大冒険,1,1982-07-10,manga pg-13 - teen 13 or older toeianim comedi sci-fi shounen,https://myanimelist.cdn-dena.com/images/anime/12/23174.jpg,posters/8546.jpg
498,Haja Taisei Dangaiou,破邪大星弾劾凰 [ダンガイオー],3,1987-09-28,origin pg-13 - teen 13 or older aic action sci-fi adventur mecha,https://myanimelist.cdn-dena.com/images/anime/11/61227.jpg,posters/498.jpg
6181,Highway Jenny,Highway Jenny,1,2006-09-27,origin pg-13 - teen 13 or older toeianim fantasi,https://myanimelist.cdn-dena.com/images/anime/2/52723.jpg,posters/6181.jpg
